"Year","Number of Students per Year","Group","Number of Students per Group","Subgroup","Number of Students per Subgroup"
"BT-V","60","","","",""
"Ph.D. Biotechnology","60","Ph.D. Biotechnology-G1","30","",""
"Ph.D. Biotechnology","60","Ph.D. Biotechnology-G2","30","",""
"BALLB-III","60","","","",""
"ME-IV","60","ME-IV-G1","30","",""
"ME-IV","60","ME-IV-G2","30","",""
"EE-IV (PED)","60","EE-IV (PED)-G1","30","",""
"EE-IV (PED)","60","EE-IV (PED)-G2","30","",""
"FT-IV","60","","","",""
"IntMBA-V","60","","","",""
"Ph.D.-MBA","60","","","",""
"MAAP-I","60","MAAP-I-G1","30","",""
"MAAP-I","60","MAAP-I-G2","30","",""
"MAAP-II","60","MAAP-II-G1","30","",""
"MAAP-II","60","MAAP-II-G2","30","",""
"MCP-I","60","MCP-I-G1","30","",""
"MCP-I","60","MCP-I-G2","30","",""
"MCP-II","60","MCP-II-G1","30","",""
"MCP-II","60","MCP-II-G2","30","",""
"MTV-I","60","MTV-I-G1","30","",""
"MTV-I","60","MTV-I-G2","30","",""
"MTCS-I","60","MTCS-I-G1","30","",""
"MTCS-I","60","MTCS-I-G2","30","",""
"MTS-II-A","60","MTS-II-A-G1","30","",""
"MTS-II-A","60","MTS-II-A-G2","30","",""
"MBA-I-B","60","MBA-I-B-G1","30","",""
"MBA-I-B","60","MBA-I-B-G2","30","",""
"MTD-I","60","MTD-I-G1","30","",""
"MTD-I","60","MTD-I-G2","30","",""
"MTPED-I","60","MTPED-I-G1","30","",""
"MTPED-I","60","MTPED-I-G2","30","",""
"MTT-I","60","MTT-I-G1","30","",""
"MTT-I","60","MTT-I-G2","30","",""
"MTM-I","60","MTM-I-G1","30","",""
"MTM-I","60","MTM-I-G2","30","",""
"MTST-I","60","MTST-I-G1","30","",""
"MTST-I","60","MTST-I-G2","30","",""
"MTEN-I","60","MTEN-I-G1","30","",""
"MTEN-I","60","MTEN-I-G2","30","",""
"MTCS-II","60","MTCS-II-G1","30","",""
"MTCS-II","60","MTCS-II-G2","30","",""
"MTS-II-B","60","MTS-II-B-G1","30","",""
"MTS-II-B","60","MTS-II-B-G2","30","",""
"MTE-II","60","MTE-II-G1","30","",""
"MTE-II","60","MTE-II-G2","30","",""
"MTIC-II","60","MTIC-II-G1","30","",""
"MTIC-II","60","MTIC-II-G2","30","",""
"MTPED-II","60","MTPED-II-G1","30","",""
"MTPED-II","60","MTPED-II-G2","30","",""
"MTEN-II","60","MTEN-II-G1","30","",""
"MTEN-II","60","MTEN-II-G2","30","",""
"MTM-II","60","MTM-II-G1","30","",""
"MTM-II","60","MTM-II-G2","30","",""
"BARC-I","60","BARC-I-G1","30","",""
"BARC-I","60","BARC-I-G2","30","",""
"BARC-II","60","BARC-II-G1","30","",""
"BARC-II","60","BARC-II-G2","30","",""
"BARC-III","60","BARC-III-G1","30","",""
"BARC-III","60","BARC-III-G2","30","",""
"BARC-IV","60","BARC-IV-G1","30","",""
"BARC-IV","60","BARC-IV-G2","30","",""
"MURP-I","60","MURP-I-G1","30","",""
"MURP-I","60","MURP-I-G2","30","",""
"MURP-II","60","MURP-II-G1","30","",""
"MURP-II","60","MURP-II-G2","30","",""
"MBA-II-B","60","MBA-II-B-G1","30","",""
"MBA-II-B","60","MBA-II-B-G2","30","",""
"BBLLB-I","60","BBLLB-I-G1","30","",""
"BBLLB-I","60","BBLLB-I-G2","30","",""
"BALLB-IV","60","BALLB-IV-G1","30","",""
"BALLB-IV","60","BALLB-IV-G2","30","",""
"FT-III","60","FT-III-G1","30","",""
"FT-III","60","FT-III-G2","30","",""
"PHD","60","PHD-G1","30","",""
"PHD","60","PHD-G2","30","",""
"PHD","60","PHD-G1","30","",""
"PHD","60","PHD-G2","30","",""
"PHD","60","PHD-G1","30","",""
"PHD","60","PHD-G2","30","",""
"MURD-I","60","MURD-I-G1","30","",""
"MURD-I","60","MURD-I-G2","30","",""
"MURD-II","60","MURD-II-G1","30","",""
"MURD-II","60","MURD-II-G2","30","",""
"MPR-I","60","MPR-I-G1","30","",""
"MPR-I","60","MPR-I-G2","30","",""
"MPR-II","60","MPR-II-G1","30","",""
"MPR-II","60","MPR-II-G2","30","",""
"MHI-I","60","MHI-I-G1","30","",""
"MHI-I","60","MHI-I-G2","30","",""
"MHI-II","60","MHI-II-G1","30","",""
"MHI-II","60","MHI-II-G2","30","",""
"MUD-I","60","MUD-I-G1","30","",""
"MUD-I","60","MUD-I-G2","30","",""
"MUD-II","60","MUD-II-G1","30","",""
"MUD-II","60","MUD-II-G2","30","",""
"BABS-II","60","","","",""
"BABS-I","60","","","",""
"IT-I","60","IT-I-G1","30","",""
"IT-I","60","IT-I-G2","30","",""
"EE-V","60","EE-V-G1","30","",""
"EE-V","60","EE-V-G2","30","",""
"EE-V(PS)","60","EE-V(PS)-G1","30","",""
"EE-V(PS)","60","EE-V(PS)-G2","30","",""
"EE-V(PED)","60","EE-V(PED)-G1","30","",""
"EE-V(PED)","60","EE-V(PED)-G2","30","",""
"EE-V(IC)","60","EE-V(IC)-G1","30","",""
"EE-V(IC)","60","EE-V(IC)-G2","30","",""
"CE-V-E","60","CE-V-E-G1","30","",""
"CE-V-E","60","CE-V-E-G2","30","",""
"CE-V-S","60","CE-V-S-G1","30","",""
"CE-V-S","60","CE-V-S-G2","30","",""
"BSC-I-A","60","BSC-I-A-G1","30","",""
"BSC-I-A","60","BSC-I-A-G2","30","",""
"BARC-V","60","BARC-V-G1","30","",""
"BARC-V","60","BARC-V-G2","30","",""
"MEN-I","60","MEN-I-G1","30","",""
"MEN-I","60","MEN-I-G2","30","",""
"MEN-II","60","MEN-II-G1","30","",""
"MEN-II","60","MEN-II-G2","30","",""
"MMC-I","60","MMC-I-G1","30","",""
"MMC-I","60","MMC-I-G2","30","",""
"MMC-II","60","MMC-II-G1","30","",""
"MMC-II","60","MMC-II-G2","30","",""
"FT-V","60","FT-V-G1","30","",""
"FT-V","60","FT-V-G2","30","",""
"IT-II-A","60","IT-II-A-G1","30","",""
"IT-II-A","60","IT-II-A-G2","30","",""
"EE-IV-C","60","EE-IV-C-G1","30","",""
"EE-IV-C","60","EE-IV-C-G2","30","",""
"BSC-II-A","60","BSC-II-A-G1","30","",""
"BSC-II-A","60","BSC-II-A-G2","30","",""
"CS-II-B","60","CS-II-B-G1","30","",""
"CS-II-B","60","CS-II-B-G2","30","",""
"IT-I-B","60","IT-I-B-G1","30","",""
"IT-I-B","60","IT-I-B-G2","30","",""
"BABS-III","60","BABS-III-G1","30","",""
"BABS-III","60","BABS-III-G2","30","",""
"ME-V-T","60","ME-V-T-G1","30","",""
"ME-V-T","60","ME-V-T-G2","30","",""
"ME-V-M","60","ME-V-M-G1","30","",""
"ME-V-M","60","ME-V-M-G2","30","",""
"BED-I","60","BED-I-G1","30","",""
"BED-I","60","BED-I-G2","30","",""
"BSC-I-B","60","BSC-I-B-G1","30","",""
"BSC-I-B","60","BSC-I-B-G2","30","",""
"BAPS-I","60","BAPS-I-G1","30","",""
"BAPS-I","60","BAPS-I-G2","30","",""
"BALLB-V","60","BALLB-V-G1","30","",""
"BALLB-V","60","BALLB-V-G2","30","",""
"PLAW","60","PLAW-G1","30","",""
"PLAW","60","PLAW-G2","30","",""
"LLM2-I","60","LLM2-I-G1","30","",""
"LLM2-I","60","LLM2-I-G2","30","",""
"LLM2-II","60","LLM2-II-G1","30","",""
"LLM2-II","60","LLM2-II-G2","30","",""
"BAEN-I","60","BAEN-I-G1","30","",""
"BAEN-I","60","BAEN-I-G2","30","",""
"BSW-I","60","BSW-I-G1","30","",""
"BSW-I","60","BSW-I-G2","30","",""
"IT-III","60","IT-III-G1","30","",""
"IT-III","60","IT-III-G2","30","",""
"BSC-II-B","60","BSC-II-B-G1","30","",""
"BSC-II-B","60","BSC-II-B-G2","30","",""
"BSC-III","60","BSC-III-G1","30","",""
"BSC-III","60","BSC-III-G2","30","",""
"BSC-III-B","60","BSC-III-B-G1","30","",""
"BSC-III-B","60","BSC-III-B-G2","30","",""
"CS-III","60","CS-III-G1","30","",""
"CS-III","60","CS-III-G2","30","",""
"CS-III-B","60","CS-III-B-G1","30","",""
"CS-III-B","60","CS-III-B-G2","30","",""
"IT-II","60","IT-II-G1","30","",""
"IT-II","60","IT-II-G2","30","",""
"IT-II-B","60","IT-II-B-G1","30","",""
"IT-II-B","60","IT-II-B-G2","30","",""
"MBT-I","60","MBT-I-G1","30","",""
"MBT-I","60","MBT-I-G2","30","",""
"MBT-II","60","MBT-II-G1","30","",""
"MBT-II","60","MBT-II-G2","30","",""
